track_name,artist_name,artist_count,released_year,released_month,released_day,streams,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,number_characters
All My Life (feat. J. Cole),"J. Cole, Lil Durk",2,2023,5,12,144565150,143,D#,Major,83,69,44,15,0,10,33,27
Say Yes To Heaven,Lana Del Rey,1,2023,3,17,127567540,100,F#,Minor,49,17,35,71,9,11,3,17
Snooze,SZA,1,2022,12,9,200342986,143,F,Major,56,39,55,14,0,11,13,6
Summertime Sadness,Lana Del Rey,1,2011,1,1,77955105,112,C#,Minor,56,24,66,7,0,12,3,18
Take Two,BTS,1,2023,6,9,118482347,93,G,Major,62,57,59,3,0,38,3,8
Lover,Taylor Swift,1,2012,1,1,75609232,206,G,Major,43,50,55,50,0,15,10,5
Too Many Nights (feat. Don Toliver & with Future),"Future, Metro Boomin, Don Toliver",3,2022,12,2,143558081,88,G,Minor,68,17,71,15,0,11,5,49
Chemical,Post Malone,1,2023,4,14,172825906,170,D,Major,50,37,90,0,0,12,5,8
New Jeans,NewJeans,1,2023,7,7,29562220,134,E,Minor,81,53,72,51,0,12,5,9
Primera Cita,Carin Leon,1,2022,4,20,38751442,158,A#,Major,54,50,40,61,0,10,6,12
Cold Heart - PNAU Remix,"Dua Lipa, Elton John, Pnau",3,2017,11,10,232771842,116,C#,Major,80,92,80,4,0,10,3,23
Dandelions,Ruth B.,1,2017,4,28,161974309,117,C#,Major,61,45,69,2,0,9,3,10
Bones,Imagine Dragons,1,2021,3,11,280757924,114,F,Minor,77,65,72,2,0,7,5,5
Set Fire to the Rain,Adele,1,2011,1,1,92219108,108,D,Minor,61,47,68,0,0,13,3,20
Money Trees,"Kendrick Lamar, Jay Rock",2,2012,1,1,93660799,144,E,Minor,74,37,53,7,0,21,10,11
Tak Segampang Itu,Anggi Marito,1,2022,12,2,90054220,130,F,Major,51,18,44,76,0,11,3,17
LAGUNAS,"Jasiel Nuï¿½ï¿½ez, Peso P",2,2023,6,22,39058561,116,B,Major,77,79,62,33,1,15,3,7
Mine (Taylor's Version),Taylor Swift,1,2023,7,7,36912123,121,G,Major,65,49,78,0,0,17,4,23
No Role Modelz,J. Cole,1,2014,12,9,183156596,100,A#,Minor,70,47,52,30,0,6,33,14
Tattoo,Loreen,1,2023,2,25,201660859,150,D#,Minor,55,30,78,24,0,12,8,6
Rara Vez,"Taiu, Milo j",2,2023,2,8,248088961,120,F,Minor,84,96,71,18,0,34,17,8
VAGABUNDO,"Sebastian Yatra, Manuel Turizo, Beï¿½ï¿½",3,2023,5,12,90839753,127,B,Minor,82,89,85,4,0,23,6,9
august,Taylor Swift,1,2020,7,24,152921191,90,F,Major,51,42,61,53,0,9,3,6
LUNA,"Junior H, Peso Pluma",2,2023,6,22,55842345,128,A,Minor,75,79,63,33,0,15,4,4
Miracle (with Ellie Goulding),"Calvin Harris, Ellie Goulding",2,2023,3,10,211050784,143,A,Major,64,31,87,4,4,8,4,29
Nonsense,Sabrina Carpenter,1,2022,7,15,171877590,139,G#,Major,74,68,68,3,0,26,4,8
Que Vuelvas,"Carin Leon, Grupo Frontera",2,2022,12,9,1384,162,A#,Major,49,78,64,19,0,11,4,11
Feliz Cumpleaï¿½ï¿½os Fe,Feid,1,2022,8,19,301684238,95,F,Major,87,57,55,10,0,29,7,24
Can't Hold Us (feat. Ray Dalton),"Ray Dalton, Ryan Lewis, Macklemore",3,2011,8,16,154821196,146,D,Major,63,88,93,3,0,10,8,32
lovely - Bonus Track,"Billie Eilish, Khalid",2,2017,8,11,341600354,115,E,Minor,35,12,30,93,0,10,3,20
"Rauw Alejandro: Bzrp Music Sessions, Vol. 56","Rauw Alejandro, Bizarrap",2,2023,6,21,66902503,128,B,Major,78,59,65,10,0,26,5,44
Queencard,(G)I-DLE,1,2023,5,15,96273746,130,E,Minor,82,69,83,3,0,27,5,9
OMG,NewJeans,1,2023,1,2,430977451,127,A,Minor,80,74,77,36,0,11,4,3
Radio,Lana Del Rey,1,2011,1,1,22572505,150,D,Major,42,20,86,21,0,9,9,5
"Shakira: Bzrp Music Sessions, Vol. 53","Shakira, Bizarrap",2,2023,1,11,721975598,122,D,Minor,78,50,63,27,0,9,5,37
Trance (with Travis Scott & Young Thug),"Travis Scott, Young Thug, Metro Boomin",3,2022,12,2,138474912,119,C#,Minor,75,48,53,18,0,18,34,39
"Tere Vaaste (From ""Zara Hatke Zara Bachke"")","Sachin-Jigar, Shadab Faridi, Altamash Faridi, Amitabh Bhattacharya, Varun Jain",5,2023,5,22,54225632,110,G,Minor,76,96,72,32,0,9,4,43
Perfect,Ed Sheeran,1,2017,1,1,371154499,95,G#,Major,60,17,45,16,0,11,2,7
Romantic Homicide,d4vd,1,2022,7,20,341643540,132,F#,Major,56,20,55,45,1,32,3,17
Believer,Imagine Dragons,1,2017,1,31,376158910,125,A#,Minor,77,74,78,4,0,23,11,8
Novo Balanï¿½,"Veigh, Bvga Beatz, Supernova Ent, Prod Malax",4,2023,5,19,81102253,124,D#,Minor,84,65,50,67,0,13,6,13
"Gol Bolinha, Gol Quadrado 2","Mc Pedrinho, DJ 900",2,2023,6,1,11956641,133,B,Minor,93,68,65,42,0,12,25,27
Stargirl Interlude,"The Weeknd, Lana Del Rey",2,2016,11,24,77807334,90,F,Minor,59,52,48,38,5,10,11,18
Ojitos Lindos,"Bomba Estï¿½ï¿½reo, Bad B",2,2022,5,6,568350223,80,D#,Minor,65,27,69,8,0,53,4,13
Those Eyes,New West,1,2019,5,10,83175069,120,E,Major,60,24,35,73,0,31,3,10
El Gordo Trae El Mando,Chino Pacas,1,2023,1,27,255932395,140,G,Minor,74,96,80,18,0,5,5,22
Mi Bello Angel,Natanael Cano,1,2023,6,30,31873544,128,A,Minor,81,90,77,1,0,9,5,14
Nosso Quadro,"Ana Castela, AgroPlay",2,2023,2,2,233801632,160,A,Major,69,61,71,33,0,31,20,12
Locked Out Of Heaven,Bruno Mars,1,2012,12,5,126868802,144,F,Major,73,87,70,6,0,28,5,20
Un Finde | CROSSOVER #2,"Big One, FMK, Ke personajes",3,2023,4,4,142095275,192,B,Major,50,85,52,11,0,28,6,23
Counting Stars,OneRepublic,1,2013,1,1,187466078,122,C#,Minor,66,48,71,6,0,12,4,14
PRC,"Natanael Cano, Peso Pluma",2,2023,1,23,436027885,138,G,Minor,78,89,83,10,0,12,5,3
One Dance,"Drake, WizKid, Kyla",3,2016,4,4,345206594,104,C#,Major,77,36,63,1,0,36,5,9
Enchanted,Taylor Swift,1,2010,1,1,45861888,164,G#,Major,45,24,62,8,0,16,3,9
Sure Thing,Miguel,1,2010,5,25,70151364,81,B,Minor,68,51,60,3,0,19,10,10
The Night We Met,Lord Huron,1,2015,2,2,159828293,174,D,Major,45,10,37,97,25,64,4,16
We Found Love,"Rihanna, Calvin Harris",2,2011,1,1,97876490,128,C#,Major,73,60,77,3,0,11,4,13
Let Me Down Slowly,Alec Benjamin,1,2018,5,25,231970088,150,C#,Minor,65,51,55,73,0,14,3,18
"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)","A$AP Rocky, Metro Boomin, Roisee",3,2023,6,2,94186466,90,A,Minor,60,13,53,4,0,21,4,49
Do I Wanna Know?,Arctic Monkeys,1,2013,1,1,166669905,85,F,Major,55,42,53,17,0,22,3,16
Demons,Imagine Dragons,1,2012,1,1,157616266,180,D#,Major,33,38,71,20,0,28,5,6
ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,YOASOBI,1,2023,4,12,143573775,166,C#,Major,57,84,94,11,0,37,9,36
Reminder,The Weeknd,1,2016,11,25,87089671,160,G#,Major,71,40,50,16,0,16,22,8
Shake It Off,Taylor Swift,1,2014,1,1,113906684,160,G,Major,65,95,80,5,0,41,16,12
Why'd You Only Call Me When You're High?,Arctic Monkeys,1,2013,1,1,118113966,92,D,Major,70,81,63,4,0,8,4,40
Shape of You,Ed Sheeran,1,2017,1,6,516600576,96,C#,Minor,83,93,65,58,0,9,8,12
Car's Outside,James Arthur,1,2019,10,18,53709632,150,A,Major,34,24,56,4,0,11,3,13
Apocalypse,Cigarettes After Sex,1,2017,3,21,122061175,94,F,Major,37,17,47,2,46,11,3,10
Cheques,Shubh,1,2023,5,19,47956378,90,E,Minor,74,36,63,26,0,27,5,7
Pink + White,Frank Ocean,1,2016,8,20,102572421,160,A,Major,54,54,55,67,0,42,11,12
Just The Way You Are,Bruno Mars,1,2010,1,1,121093214,109,F,Major,63,46,85,1,0,9,5,20
Take Me To Church,Hozier,1,2013,9,13,198994237,129,E,Minor,57,41,66,63,0,12,5,17
Bebe Dame,"Fuerza Regida, Grupo Frontera",2,2022,12,16,184117278,157,G,Major,54,75,60,30,0,7,5,9
You Belong With Me (Taylorï¿½ï¿½ï¿½s Ve,Taylor Swift,1,2021,4,9,117378291,130,F#,Major,63,49,73,5,0,9,3,39
Titi Me Preguntï¿½,Bad Bunny,1,2022,5,6,633735803,107,F,Minor,65,19,72,10,0,13,25,18
Better Than Revenge (Taylor's Version),Taylor Swift,1,2023,7,7,30343206,146,B,Minor,50,67,89,0,0,19,8,38
Shut up My Moms Calling,Hotel Ugly,1,2020,2,10,102045095,139,A,Minor,48,37,41,32,0,10,10,23
Es un Secreto,Plan B,1,2010,7,20,39885769,95,F#,Minor,84,52,77,12,0,7,4,13
POLARIS - Remix,"Feid, Mora, Saiko, Quevedo",4,2023,6,8,57312735,170,G#,Minor,62,55,80,15,0,37,7,15
Ditto,NewJeans,1,2022,12,19,199288006,134,F#,Minor,81,18,64,3,0,10,11,5
"Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset)","Swae Lee, Lil Wayne, Offset, Metro Boomin",4,2023,6,2,86773632,146,B,Minor,61,20,48,21,0,12,6,93
"Angel Pt 1 (feat. Jimin of BTS, JVKE & Muni Long)","Kodak Black, NLE Choppa, Muni Long, JVKE, Jimin",5,2023,5,1,133753727,74,A#,Minor,53,24,67,11,0,10,28,49
Acrï¿½ï¿½s,Shakira,1,2023,5,11,123124076,144,B,Major,75,35,48,84,0,10,12,10
AMG,"Natanael Cano, Gabito Ballesteros, Peso Pluma",3,2022,11,24,232361933,136,B,Minor,77,79,73,15,0,27,10,3
"Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")","Arijit Singh, Sachin-Jigar, Amitabha Bhattacharya",3,2023,5,15,64533040,100,E,Major,56,53,55,53,0,12,4,52
S-Class,Stray Kids,1,2023,6,2,65496046,105,F,Minor,89,67,78,9,0,7,33,7
Hits Different,Taylor Swift,1,2023,5,26,68616963,106,F,Major,67,24,78,15,0,30,4,14
Chanel,"Becky G, Peso Pluma",2,2023,3,30,161460990,132,D,Major,85,53,68,40,0,9,4,6
Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray),"Metro Boomin, Coi Leray",2,2023,6,2,70106975,120,A,Major,78,5,30,21,0,13,5,74
Area Codes,"Kaliii, Kaliii",2,2023,3,17,113509496,155,C#,Major,82,51,39,2,0,9,49,10
Abcdario,"Junior H, Eden Muï¿½ï¿½",2,2023,5,13,89933133,129,G#,Major,70,42,43,78,0,11,3,8
Obsessed,"Abhijay Sharma, Riar Saab",2,2022,9,29,35592328,135,F,Minor,80,85,74,62,0,8,9,8
Piï¿½ï¿½man Deï¿½,"Semicenk, Doï¿½ï¿½u ",2,2023,6,2,43522589,98,A#,Minor,73,45,62,28,0,13,13,17
FLOWER,JISOO,1,2023,3,31,232896922,124,A,Minor,84,64,39,3,0,11,4,6
"All The Way Live (Spider-Man: Across the Spider-Verse) (Metro Boomin & Future, Lil Uzi Vert)","Future, Lil Uzi Vert, Metro Boomin",3,2023,6,2,37126685,135,A,Minor,77,28,55,18,0,22,15,92
Eyes Closed,Ed Sheeran,1,2023,3,23,195576623,107,D,Major,78,39,53,30,0,11,6,11
Escapism.,"RAYE, 070 Shake",2,2022,10,12,266833595,96,D,Major,54,25,74,14,0,9,11,9
La Jumpa,"Arcangel, Bad Bunny",2,2022,11,30,269730238,123,G#,Major,71,58,70,30,0,32,19,8
Karma (feat. Ice Spice),"Taylor Swift, Ice Spice",2,2023,5,26,46142772,90,G#,Major,62,7,62,6,0,58,6,23
Superhero (Heroes & Villains) [with Future & Chris Brown],"Future, Chris Brown, Metro Boomin",3,2022,12,2,201019451,117,F,Minor,72,45,59,14,0,20,21,57
Las Morras,"BLESSD, Peso Pluma",2,2023,4,4,127026613,133,A,Minor,78,90,84,31,0,7,4,10
CHORRITO PA LAS ANIMAS,Feid,1,2022,12,2,172947143,96,G#,Minor,74,61,83,11,0,35,6,22
Ch y la Pizza,"Fuerza Regida, Natanael Cano",2,2022,12,1,144410951,149,G#,Major,66,85,60,40,0,14,13,13
Snow On The Beach (feat. More Lana Del Rey),"Lana Del Rey, Taylor Swift",2,2023,5,26,60350538,110,F#,Minor,66,32,40,81,0,11,3,43
Players,Coi Leray,1,2022,11,30,167956233,105,F#,Major,95,62,52,3,0,5,16,7
Bite Me,ENHYPEN,1,2023,5,22,76767396,105,C#,Major,80,69,78,28,0,11,14,7
Stand By Me (feat. Morgan Wallen),"Lil Durk, Morgan Wallen",2,2023,5,26,46065667,134,B,Major,76,61,58,6,0,16,3,33
Normal,Feid,1,2022,7,8,230212311,170,E,Minor,71,59,56,4,0,27,12,6
Hummingbird (Metro Boomin & James Blake),"James Blake, Metro Boomin",2,2023,6,2,39666245,81,F#,Major,59,26,60,46,1,25,13,40
Seu Brilho Sumiu - Ao Vivo,"Israel & Rodolffo, Mari Fernandez",2,2023,3,1,138517666,154,F#,Major,63,75,92,31,0,91,5,26
Bad Habit,Steve Lacy,1,2022,6,29,412345248,169,C#,Major,69,69,51,63,0,38,4,9
CUFF IT,Beyoncï¿½,1,2022,7,29,298695245,115,G,Major,78,64,69,4,0,7,14,7
Lilith (feat. SUGA of BTS) (Diablo IV Anthem),"Halsey, Suga",2,2023,6,5,51985779,84,A,Minor,43,14,74,1,0,19,8,45
69,"Nicky Jam, Feid",2,2023,5,18,57945987,93,G#,Major,79,58,62,11,0,11,23,2
Niï¿½ï¿½a Bo,"Sean Paul, Feid",2,2023,4,21,115010040,91,G,Major,82,47,62,10,0,10,15,12
Search & Rescue,Drake,1,2023,4,7,175097833,142,A#,Minor,82,54,44,6,0,33,7,15
AMERICA HAS A PROBLEM (feat. Kendrick Lamar),"Kendrick Lamar, Beyoncï¿½",2,2023,5,19,57089066,126,C#,Major,78,20,70,1,0,16,4,44
Lavender Haze,Taylor Swift,1,2022,10,21,244803880,97,A#,Major,73,10,44,26,0,16,8,13
"Link Up (Metro Boomin & Don Toliver, Wizkid feat. BEAM & Toian) - Spider-Verse Remix (Spider-Man: Across the Spider-Verse )","WizKid, Toian, Metro Boomin, Don Toliver, Beam",5,2023,6,2,32761689,101,F,Major,92,59,51,41,51,26,8,123
Efecto,Bad Bunny,1,2022,5,6,525049373,98,G,Minor,80,23,48,14,0,6,5,6
Erro Gostoso - Ao Vivo,Simone Mendes,1,2023,1,27,153454328,154,F#,Major,59,63,89,18,0,80,9,22
Cupido,Tini,1,2023,2,14,217672943,120,A,Major,91,63,58,52,0,31,22,6
Just Wanna Rock,Lil Uzi Vert,1,2022,10,17,229163894,150,B,Major,49,4,55,7,0,6,3,15
Until I Found You,Stephen Sanchez,1,2021,9,1,243356513,202,A#,Major,34,25,51,69,0,18,4,17
Rich Flex,"Drake, 21 Savage",2,2022,11,4,287533549,153,B,Minor,56,42,52,5,0,36,24,9
Easy On Me,Adele,1,2021,10,14,471049226,142,F,Major,60,13,37,58,0,13,3,10
Cartï¿½ï¿½o B,"MC Caverinha, KayBlack",2,2023,5,11,71573339,108,A,Minor,84,55,47,26,0,20,64,13
Danger (Spider) (Offset & JID),"Offset, JID",2,2023,6,2,24975653,143,B,Major,83,25,69,4,0,23,12,30
Oi Balde - Ao Vivo,Zï¿½ï¿½ Neto & Crist,1,2023,2,14,145458418,108,D,Major,67,55,67,60,0,80,5,18
MERCHO,"Migrantes, LiL CaKe, Nico Valdi",3,2022,12,16,115955223,93,F#,Minor,84,96,79,43,0,18,11,6
The Color Violet,Tory Lanez,1,2021,12,10,139338024,105,F#,Minor,65,46,53,16,0,9,5,16
Glimpse of Us,Joji,1,2022,6,10,495493512,170,G#,Major,44,27,32,89,0,14,5,13
Mejor Que Yo,"Mambo Kingz, DJ Luian, Anuel Aa",3,2023,5,4,50847624,178,C#,Minor,62,56,66,18,0,12,5,12
Curtains,Ed Sheeran,1,2023,5,5,39893489,176,F#,Minor,50,44,76,10,0,32,5,8
UNFORGIVEN (feat. Nile Rodgers),"Nile Rodgers, LE SSERAFIM",2,2023,5,1,92035115,104,E,Minor,80,38,88,11,0,11,5,31
Haegeum,Agust D,1,2023,4,21,118810253,85,G,Major,70,83,84,31,0,47,30,7
Conexï¿½ï¿½es de Mï¿½ï¿½fia (feat. Rich ,"Rich The Kid, Matuï¿½",2,2023,4,30,77233241,117,F#,Minor,77,69,58,39,0,26,5,40
Never Felt So Alone,Labrinth,1,2023,4,7,117747907,98,F,Major,44,36,41,50,0,38,5,19
X SI VOLVEMOS,"Karol G, Romeo Santos",2,2023,2,2,266624541,178,C#,Minor,79,58,78,34,0,11,25,13
ceilings,Lizzy McAlpine,1,2022,4,8,146959978,148,A,Major,51,27,33,48,0,22,3,8
Cupid,Fifty Fifty,1,2023,2,24,139681964,120,D,Major,77,94,66,65,0,38,3,5
I AM,IVE,1,2023,4,10,123132751,122,E,Minor,68,38,88,1,0,8,5,4
Shorty Party,"Cartel De Santa, La Kelly",2,2023,3,4,162887075,96,D,Major,93,47,47,33,0,10,36,12
Super,SEVENTEEN,1,2023,4,24,91221625,137,G#,Major,77,35,88,16,0,17,9,5
Slut Me Out,NLE Choppa,1,2022,4,22,95483570,121,F#,Minor,94,71,61,12,0,53,42,11
Double Fantasy (with Future),"The Weeknd, Future",2,2023,4,21,96180277,119,A,Minor,60,10,57,1,0,50,3,28
All Of The Girls You Loved Before,Taylor Swift,1,2019,8,23,37419527,96,D,Major,72,40,47,71,0,13,4,33
