track_name,artist_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,number_characters
STAY (with Justin Bieber),"Justin Bieber, The Kid Laroi",2,2021,7,9,17050,36,906274972,492,99,798,31,0,170,C#,Major,59,48,76,4,0,10,5,25
El Merengue,"Marshmello, Manuel Turizo",2,2023,3,3,2114,44,223633238,80,75,110,11,323,124,G#,Minor,78,70,68,3,1,11,4,11
Me Porto Bonito,"Chencho Corleone, Bad Bunny",2,2022,5,6,8870,43,727582457,104,120,141,26,49,92,C#,Minor,91,43,71,9,0,9,8,15
Makeba,Jain,1,2015,6,22,6060,53,19892002,150,148,"2,703",22,"1,451",116,D,Major,82,40,66,39,51,25,7,6
MONTAGEM - FR PUNK,"Ayparia, unxbected",2,2012,6,20,641,50,5387593,1,52,8,0,"1,170",129,A,Major,63,84,82,70,8,9,7,18
Fast Car,Luke Combs,1,2023,3,24,1446,12,157058870,57,97,35,0,429,98,G#,Major,71,67,60,19,0,12,3,8
What It Is (Solo Version),Doechii,1,2023,3,17,804,25,95131998,29,76,24,0,162,172,C#,Minor,74,76,76,6,0,10,9,25
Coco Chanel,"Bad Bunny, Eladio Carrion",2,2023,3,17,1962,38,250305248,28,89,29,5,82,150,D,Major,68,14,76,4,0,10,4,11
Donï¿½ï¿½ï¿½t Bl,Taylor Swift,1,2017,11,8,4875,23,103830142,19,45,0,0,10,136,A,Minor,62,19,53,11,0,6,4,16
Still With You,Jung Kook,1,2020,6,5,31,39,9892970,2,107,8,0,0,88,C#,Minor,53,34,47,9,0,83,4,14
All My Life (feat. J. Cole),"J. Cole, Lil Durk",2,2023,5,12,2175,23,144565150,69,145,69,2,478,143,D#,Major,83,69,44,15,0,10,33,27
Say Yes To Heaven,Lana Del Rey,1,2023,3,17,2000,46,127567540,49,105,63,1,0,100,F#,Minor,49,17,35,71,9,11,3,17
Snooze,SZA,1,2022,12,9,2839,25,201841746,58,156,42,1,236,143,F,Major,56,39,55,14,0,11,13,6
Summertime Sadness,Lana Del Rey,1,2011,1,1,20333,52,85072996,89,143,"1,632",3,200,112,C#,Minor,56,24,66,7,0,12,3,18
Take Two,BTS,1,2023,6,9,674,47,118482347,20,106,25,4,78,93,G,Major,62,57,59,3,0,38,3,8
Lover,Taylor Swift,1,2012,1,1,8448,23,81928356,160,110,163,0,5,206,G,Major,43,50,55,50,0,15,10,5
Too Many Nights (feat. Don Toliver & with Future),"Future, Metro Boomin, Don Toliver",3,2022,12,2,2110,58,144632035,17,119,19,2,266,88,G,Minor,68,17,71,15,0,11,5,49
Chemical,Post Malone,1,2023,4,14,2528,39,172825906,56,91,59,3,486,170,D,Major,50,37,90,0,0,12,5,8
New Jeans,NewJeans,1,2023,7,7,77,35,29562220,8,166,4,4,34,134,E,Minor,81,53,72,51,0,12,5,9
Primera Cita,Carin Leon,1,2022,4,20,266,27,39041340,6,40,6,6,202,158,A#,Major,54,50,40,61,0,10,6,12
Cold Heart - PNAU Remix,"Dua Lipa, Elton John, Pnau",3,2017,11,10,21097,52,243303318,384,135,"1,034",37,312,116,C#,Major,80,92,80,4,0,10,3,23
Dandelions,Ruth B.,1,2017,4,28,3423,21,169302638,41,100,59,1,32,117,C#,Major,61,45,69,2,0,9,3,10
Bones,Imagine Dragons,1,2021,3,11,4198,44,284965415,98,108,327,17,153,114,F,Minor,77,65,72,2,0,7,5,5
Set Fire to the Rain,Adele,1,2011,1,1,14739,43,100639410,88,112,"2,163",5,519,108,D,Minor,61,47,68,0,0,13,3,20
Money Trees,"Kendrick Lamar, Jay Rock",2,2012,1,1,26792,32,101488602,69,113,695,0,458,144,E,Minor,74,37,53,7,0,21,10,11
Tak Segampang Itu,Anggi Marito,1,2022,12,2,213,6,90727913,7,6,0,0,48,130,F,Major,51,18,44,76,0,11,3,17
LAGUNAS,"Jasiel Nuï¿½ï¿½ez, Peso P",2,2023,6,22,58,18,39058561,2,106,4,2,184,116,B,Major,77,79,62,33,1,15,3,7
Mine (Taylor's Version),Taylor Swift,1,2023,7,7,99,15,36912123,21,52,6,1,0,121,G,Major,65,49,78,0,0,17,4,23
No Role Modelz,J. Cole,1,2014,12,9,21164,36,195643706,80,65,476,0,14,100,A#,Minor,70,47,52,30,0,6,33,14
Tattoo,Loreen,1,2023,2,25,2988,59,201660859,74,102,145,18,925,150,D#,Minor,55,30,78,24,0,12,8,6
Rara Vez,"Taiu, Milo j",2,2023,2,8,893,38,248088961,19,23,24,3,88,120,F,Minor,84,96,71,18,0,34,17,8
VAGABUNDO,"Sebastian Yatra, Manuel Turizo, Beï¿½ï¿½",3,2023,5,12,1094,34,90839753,40,58,47,8,203,127,B,Minor,82,89,85,4,0,23,6,9
august,Taylor Swift,1,2020,7,24,7324,22,156364268,25,81,61,1,44,90,F,Major,51,42,61,53,0,9,3,6
LUNA,"Junior H, Peso Pluma",2,2023,6,22,201,11,55842345,19,117,8,1,74,128,A,Minor,75,79,63,33,0,15,4,4
Miracle (with Ellie Goulding),"Calvin Harris, Ellie Goulding",2,2023,3,10,5120,48,211050784,161,115,246,9,638,143,A,Major,64,31,87,4,4,8,4,29
Nonsense,Sabrina Carpenter,1,2022,7,15,2346,27,173163401,69,12,38,8,64,139,G#,Major,74,68,68,3,0,26,4,8
Que Vuelvas,"Carin Leon, Grupo Frontera",2,2022,12,9,763,26,1394,21,110,21,9,71,162,A#,Major,49,78,64,19,0,11,4,11
Feliz Cumpleaï¿½ï¿½os Fe,Feid,1,2022,8,19,3430,38,303941129,45,69,52,4,3,95,F,Major,87,57,55,10,0,29,7,24
Can't Hold Us (feat. Ray Dalton),"Ray Dalton, Ryan Lewis, Macklemore",3,2011,8,16,6074,52,168957542,201,44,"6,551",2,0,146,D,Major,63,88,93,3,0,10,8,32
lovely - Bonus Track,"Billie Eilish, Khalid",2,2017,8,11,15032,30,357055642,221,96,"1,078",2,136,115,E,Minor,35,12,30,93,0,10,3,20
"Rauw Alejandro: Bzrp Music Sessions, Vol. 56","Rauw Alejandro, Bizarrap",2,2023,6,21,871,32,66902503,25,59,32,5,88,128,B,Major,78,59,65,10,0,26,5,44
Queencard,(G)I-DLE,1,2023,5,15,451,33,96273746,10,126,7,0,148,130,E,Minor,82,69,83,3,0,27,5,9
OMG,NewJeans,1,2023,1,2,1783,27,430977451,26,124,15,1,22,127,A,Minor,80,74,77,36,0,11,4,3
Radio,Lana Del Rey,1,2011,1,1,9389,46,24633546,24,122,282,3,368,150,D,Major,42,20,86,21,0,9,9,5
"Shakira: Bzrp Music Sessions, Vol. 53","Shakira, Bizarrap",2,2023,1,11,5724,44,721975598,119,108,254,29,22,122,D,Minor,78,50,63,27,0,9,5,37
Trance (with Travis Scott & Young Thug),"Travis Scott, Young Thug, Metro Boomin",3,2022,12,2,1682,46,139510838,24,90,30,1,176,119,C#,Minor,75,48,53,18,0,18,34,39
"Tere Vaaste (From ""Zara Hatke Zara Bachke"")","Sachin-Jigar, Shadab Faridi, Altamash Faridi, Amitabh Bhattacharya, Varun Jain",5,2023,5,22,182,8,54225632,3,88,1,0,52,110,G,Minor,76,96,72,32,0,9,4,43
Perfect,Ed Sheeran,1,2017,1,1,16596,13,387946928,7,0,"2,094",0,0,95,G#,Major,60,17,45,16,0,11,2,7
Romantic Homicide,d4vd,1,2022,7,20,2335,23,344199365,82,55,50,0,9,132,F#,Major,56,20,55,45,1,32,3,17
Believer,Imagine Dragons,1,2017,1,31,18986,23,393177758,250,121,"2,969",10,31,125,A#,Minor,77,74,78,4,0,23,11,8
Novo Balanï¿½,"Veigh, Bvga Beatz, Supernova Ent, Prod Malax",4,2023,5,19,283,7,81102253,6,9,26,1,66,124,D#,Minor,84,65,50,67,0,13,6,13
"Gol Bolinha, Gol Quadrado 2","Mc Pedrinho, DJ 900",2,2023,6,1,293,8,11956641,5,2,30,2,66,133,B,Minor,93,68,65,42,0,12,25,27
Stargirl Interlude,"The Weeknd, Lana Del Rey",2,2016,11,24,1275,32,81920687,13,8,5,0,1,90,F,Minor,59,52,48,38,5,10,11,18
Ojitos Lindos,"Bomba Estï¿½ï¿½reo, Bad B",2,2022,5,6,6135,38,572602033,71,113,99,13,28,80,D#,Minor,65,27,69,8,0,53,4,13
Those Eyes,New West,1,2019,5,10,1507,14,85675996,24,71,44,1,195,120,E,Major,60,24,35,73,0,31,3,10
El Gordo Trae El Mando,Chino Pacas,1,2023,1,27,539,21,255932395,7,71,4,2,13,140,G,Minor,74,96,80,18,0,5,5,22
Mi Bello Angel,Natanael Cano,1,2023,6,30,86,8,31873544,7,76,3,1,93,128,A,Minor,81,90,77,1,0,9,5,14
Nosso Quadro,"Ana Castela, AgroPlay",2,2023,2,2,894,9,233801632,14,88,66,3,72,160,A,Major,69,61,71,33,0,31,20,12
Locked Out Of Heaven,Bruno Mars,1,2012,12,5,1622,9,137472001,0,0,356,0,0,144,F,Major,73,87,70,6,0,28,5,20
Un Finde | CROSSOVER #2,"Big One, FMK, Ke personajes",3,2023,4,4,561,14,142095275,4,14,12,5,56,192,B,Major,50,85,52,11,0,28,6,23
Counting Stars,OneRepublic,1,2013,1,1,29215,43,201688358,179,97,"3,394",11,153,122,C#,Minor,66,48,71,6,0,12,4,14
PRC,"Natanael Cano, Peso Pluma",2,2023,1,23,961,26,436027885,19,143,10,6,15,138,G,Minor,78,89,83,10,0,12,5,3
One Dance,"Drake, WizKid, Kyla",3,2016,4,4,43257,24,363456243,433,107,"3,631",0,26,104,C#,Major,77,36,63,1,0,36,5,9
Enchanted,Taylor Swift,1,2010,1,1,4564,16,50404966,24,101,113,0,40,164,G#,Major,45,24,62,8,0,16,3,9
Sure Thing,Miguel,1,2010,5,25,13801,19,77100557,137,125,435,6,285,81,B,Minor,68,51,60,3,0,19,10,10
The Night We Met,Lord Huron,1,2015,2,2,18515,35,169499577,70,82,939,1,162,174,D,Major,45,10,37,97,25,64,4,16
We Found Love,"Rihanna, Calvin Harris",2,2011,1,1,36843,21,106813354,321,91,"4,607",1,58,128,C#,Major,73,60,77,3,0,11,4,13
Let Me Down Slowly,Alec Benjamin,1,2018,5,25,5897,19,240702476,0,0,885,0,0,150,C#,Minor,65,51,55,73,0,14,3,18
"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)","A$AP Rocky, Metro Boomin, Roisee",3,2023,6,2,727,16,94186466,17,60,28,1,44,90,A,Minor,60,13,53,4,0,21,4,49
Do I Wanna Know?,Arctic Monkeys,1,2013,1,1,33783,26,179314465,133,92,"2,733",1,26,85,F,Major,55,42,53,17,0,22,3,16
Demons,Imagine Dragons,1,2012,1,1,26694,13,170789219,65,82,"3,425",4,13,180,D#,Major,33,38,71,20,0,28,5,6
ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,YOASOBI,1,2023,4,12,356,16,143573775,35,102,8,1,117,166,C#,Major,57,84,94,11,0,37,9,36
Reminder,The Weeknd,1,2016,11,25,6518,17,91693743,45,85,238,1,47,160,G#,Major,71,40,50,16,0,16,22,8
Shake It Off,Taylor Swift,1,2014,1,1,21335,13,121672527,328,70,"1,378",9,20,160,G,Major,65,95,80,5,0,41,16,12
Why'd You Only Call Me When You're High?,Arctic Monkeys,1,2013,1,1,23389,29,127074787,54,70,"1,089",2,1,92,D,Major,70,81,63,4,0,8,4,40
Shape of You,Ed Sheeran,1,2017,1,6,32181,10,539973534,33,0,"6,808",7,0,96,C#,Minor,83,93,65,58,0,9,8,12
Car's Outside,James Arthur,1,2019,10,18,794,10,55324585,38,25,61,0,263,150,A,Major,34,24,56,4,0,11,3,13
Apocalypse,Cigarettes After Sex,1,2017,3,21,13091,17,127583683,61,96,790,2,116,94,F,Major,37,17,47,2,46,11,3,10
Cheques,Shubh,1,2023,5,19,67,8,47956378,7,10,0,0,57,90,E,Minor,74,36,63,26,0,27,5,7
Pink + White,Frank Ocean,1,2016,8,20,21574,30,107995002,112,68,266,1,39,160,A,Major,54,54,55,67,0,42,11,12
Just The Way You Are,Bruno Mars,1,2010,1,1,21106,13,133088705,82,0,"2,946",0,0,109,F,Major,63,46,85,1,0,9,5,20
Take Me To Church,Hozier,1,2013,9,13,23804,31,214091110,187,99,"4,623",1,0,129,E,Minor,57,41,66,63,0,12,5,17
Bebe Dame,"Fuerza Regida, Grupo Frontera",2,2022,12,16,849,22,185494654,27,129,21,7,111,157,G,Major,54,75,60,30,0,7,5,9
You Belong With Me (Taylorï¿½ï¿½ï¿½s Ve,Taylor Swift,1,2021,4,9,2619,12,119137344,47,90,1,0,7,130,F#,Major,63,49,73,5,0,9,3,39
Titi Me Preguntï¿½,Bad Bunny,1,2022,5,6,9037,42,638476761,124,133,139,14,166,107,F,Minor,65,19,72,10,0,13,25,18
Better Than Revenge (Taylor's Version),Taylor Swift,1,2023,7,7,86,11,30343206,3,33,3,0,1,146,B,Minor,50,67,89,0,0,19,8,38
Shut up My Moms Calling,Hotel Ugly,1,2020,2,10,1788,14,104342678,1,50,19,0,19,139,A,Minor,48,37,41,32,0,10,10,23
Es un Secreto,Plan B,1,2010,7,20,492,36,43836852,4,3,19,0,0,95,F#,Minor,84,52,77,12,0,7,4,13
POLARIS - Remix,"Feid, Mora, Saiko, Quevedo",4,2023,6,8,773,33,57312735,20,46,21,8,99,170,G#,Minor,62,55,80,15,0,37,7,15
Ditto,NewJeans,1,2022,12,19,1154,22,200778873,28,125,11,1,51,134,F#,Minor,81,18,64,3,0,10,11,5
"Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset)","Swae Lee, Lil Wayne, Offset, Metro Boomin",4,2023,6,2,551,4,86773632,13,46,20,1,10,146,B,Minor,61,20,48,21,0,12,6,93
"Angel Pt 1 (feat. Jimin of BTS, JVKE & Muni Long)","Kodak Black, NLE Choppa, Muni Long, JVKE, Jimin",5,2023,5,1,577,14,133753727,22,18,15,1,0,74,A#,Minor,53,24,67,11,0,10,28,49
Acrï¿½ï¿½s,Shakira,1,2023,5,11,955,29,123124076,37,50,79,11,31,144,B,Major,75,35,48,84,0,10,12,10
AMG,"Natanael Cano, Gabito Ballesteros, Peso Pluma",3,2022,11,24,995,19,234100226,12,117,9,5,3,136,B,Minor,77,79,73,15,0,27,10,3
"Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")","Arijit Singh, Sachin-Jigar, Amitabha Bhattacharya",3,2023,5,15,178,6,64533040,6,71,1,0,31,100,E,Major,56,53,55,53,0,12,4,52
S-Class,Stray Kids,1,2023,6,2,290,19,65496046,9,101,5,0,73,105,F,Minor,89,67,78,9,0,7,33,7
Hits Different,Taylor Swift,1,2023,5,26,547,0,68616963,15,15,6,0,0,106,F,Major,67,24,78,15,0,30,4,14
Chanel,"Becky G, Peso Pluma",2,2023,3,30,681,10,161460990,15,92,21,2,26,132,D,Major,85,53,68,40,0,9,4,6
Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray),"Metro Boomin, Coi Leray",2,2023,6,2,332,5,70106975,18,41,5,0,19,120,A,Major,78,5,30,21,0,13,5,74
Area Codes,"Kaliii, Kaliii",2,2023,3,17,1197,13,113509496,44,34,25,1,171,155,C#,Major,82,51,39,2,0,9,49,10
Abcdario,"Junior H, Eden Muï¿½ï¿½",2,2023,5,13,262,5,89933133,8,60,4,1,109,129,G#,Major,70,42,43,78,0,11,3,8
Obsessed,"Abhijay Sharma, Riar Saab",2,2022,9,29,161,6,35858593,10,79,2,0,42,135,F,Minor,80,85,74,62,0,8,9,8
Piï¿½ï¿½man Deï¿½,"Semicenk, Doï¿½ï¿½u ",2,2023,6,2,185,3,43522589,5,6,4,1,33,98,A#,Minor,73,45,62,28,0,13,13,17
FLOWER,JISOO,1,2023,3,31,839,18,232896922,20,110,20,0,69,124,A,Minor,84,64,39,3,0,11,4,6
"All The Way Live (Spider-Man: Across the Spider-Verse) (Metro Boomin & Future, Lil Uzi Vert)","Future, Lil Uzi Vert, Metro Boomin",3,2023,6,2,259,0,37126685,5,17,5,0,0,135,A,Minor,77,28,55,18,0,22,15,92
Eyes Closed,Ed Sheeran,1,2023,3,23,2915,30,195576623,116,69,107,3,675,107,D,Major,78,39,53,30,0,11,6,11
Escapism.,"RAYE, 070 Shake",2,2022,10,12,5129,25,268829769,116,84,114,18,348,96,D,Major,54,25,74,14,0,9,11,9
La Jumpa,"Arcangel, Bad Bunny",2,2022,11,30,3794,34,271748082,47,77,53,10,8,123,G#,Major,71,58,70,30,0,32,19,8
Karma (feat. Ice Spice),"Taylor Swift, Ice Spice",2,2023,5,26,588,0,46142772,23,21,31,0,0,90,G#,Major,62,7,62,6,0,58,6,23
Superhero (Heroes & Villains) [with Future & Chris Brown],"Future, Chris Brown, Metro Boomin",3,2022,12,2,2959,16,202523271,41,69,38,0,36,117,F,Minor,72,45,59,14,0,20,21,57
Las Morras,"BLESSD, Peso Pluma",2,2023,4,4,291,8,127026613,8,78,4,1,1,133,A,Minor,78,90,84,31,0,7,4,10
CHORRITO PA LAS ANIMAS,Feid,1,2022,12,2,2321,36,174240956,29,65,34,5,3,96,G#,Minor,74,61,83,11,0,35,6,22
